0,IPS,13,1,mz_333_1.mid,0
0,IPS,14,1,mz_333_2.mid,0
0,IPS,16,1,mz_545_1.mid,0
0,IPS,3,1,mz_311_3.mid,0
0,IPS,17,1,mz_545_2.mid,0
0,IPS,2,1,mz_311_2.mid,0
0,IPS,5,1,mz_330_2.mid,0
0,IPS,15,1,mz_333_3.mid,0
0,IPS,19,1,mz_570_1.mid,0
0,IPS,11,1,mz_332_2.mid,0
0,IPS,9,1,mz_331_3.mid,0
0,IPS,4,1,mz_330_1.mid,0
0,IPS,10,1,mz_332_1.mid,0
0,IPS,6,1,mz_330_3.mid,0
0,IPS,18,1,mz_545_3.mid,0
0,IPS,20,1,mz_570_2.mid,0
0,IPS,12,1,mz_332_3.mid,0
0,IPS,7,1,mz_331_1.mid,0
0,IPS,21,1,mz_570_3.mid,0
0,IPS,1,1,mz_311_1.mid,0
0,IPS,8,1,mz_331_2.mid,0
1,T,1,1,0.125,1
1,T,1,2,0.25,1
1,T,1,3,0.375,1
1,T,1,4,0.5,0
1,T,1,5,0.625,0
1,T,1,6,0.75,1
1,T,1,7,0.875,0
1,T,1,8,1.0,1
1,T,1,9,1.125,0
1,T,1,10,1.25,1
1,T,1,11,1.375,0
1,T,1,12,1.5,1
1,T,1,13,1.625,0
1,T,1,14,1.75,0
1,T,1,15,1.875,0
1,T,1,16,2.0,1
1,T,1,17,2.125,0
1,T,1,18,2.25,0
1,T,1,19,2.375,0
1,T,1,20,2.5,0
1,T,1,21,2.625,0
1,T,1,22,2.75,0
1,T,1,23,2.875,0
1,T,1,24,3.0,1
1,T,1,25,3.125,0
1,T,1,26,3.25,0
1,T,1,27,3.375,0
1,T,1,28,3.5,1
1,T,1,29,3.625,0
1,T,1,30,3.75,0
1,T,1,31,3.875,0
1,T,1,32,4.0,0
1,T,1,33,4.125,0
1,T,1,34,4.25,0
1,T,1,35,4.375,0
1,T,1,36,4.5,0
1,T,1,37,4.625,0
1,T,1,38,4.75,0
1,T,1,39,4.875,0
1,T,1,40,5.0,0
1,T,1,41,5.125,0
1,T,1,42,5.25,0
1,T,1,43,5.375,0
1,T,1,44,5.5,0
1,T,1,45,5.625,0
1,T,1,46,5.75,0
1,T,1,47,5.875,0
1,T,1,48,6.0,0
1,T,1,49,6.125,0
1,T,1,50,6.25,0
1,T,1,51,6.375,0
1,T,1,52,6.5,0
1,T,1,53,6.625,0
1,T,1,54,6.75,0
1,T,1,55,6.875,0
1,T,1,56,7.0,0
1,T,1,57,7.125,0
1,T,1,58,7.25,0
1,T,1,59,7.375,0
1,T,1,60,7.5,0
1,T,1,61,7.625,0
1,T,1,62,7.75,0
1,T,1,63,7.875,0
1,T,1,64,8.0,0
1,T,2,1,0.125,1
1,T,2,2,0.25,1
1,T,2,3,0.375,0
1,T,2,4,0.5,1
1,T,2,5,0.625,0
1,T,2,6,0.75,0
1,T,2,7,0.875,0
1,T,2,8,1.0,1
1,T,2,9,1.125,0
1,T,2,10,1.25,0
1,T,2,11,1.375,0
1,T,2,12,1.5,0
1,T,2,13,1.625,0
1,T,2,14,1.75,0
1,T,2,15,1.875,0
1,T,2,16,2.0,0
1,T,2,17,2.125,0
1,T,2,18,2.25,0
1,T,2,19,2.375,0
1,T,2,20,2.5,0
1,T,2,21,2.625,0
1,T,2,22,2.75,0
1,T,2,23,2.875,0
1,T,2,24,3.0,0
1,T,2,25,3.125,0
1,T,2,26,3.25,0
1,T,2,27,3.375,0
1,T,2,28,3.5,0
1,T,2,29,3.625,0
1,T,2,30,3.75,0
1,T,2,31,3.875,0
1,T,2,32,4.0,0
1,T,2,33,4.125,0
1,T,2,34,4.25,0
1,T,2,35,4.375,0
1,T,2,36,4.5,0
1,T,2,37,4.625,0
1,T,2,38,4.75,0
1,T,2,39,4.875,0
1,T,2,40,5.0,0
1,T,2,41,5.125,0
1,T,2,42,5.25,0
1,T,2,43,5.375,0
1,T,2,44,5.5,0
1,T,2,45,5.625,0
1,T,2,46,5.75,0
1,T,2,47,5.875,0
1,T,2,48,6.0,0
1,T,2,49,6.125,0
1,T,2,50,6.25,0
1,T,2,51,6.375,0
1,T,2,52,6.5,0
1,T,2,53,6.625,0
1,T,2,54,6.75,0
1,T,2,55,6.875,0
1,T,2,56,7.0,0
1,T,2,57,7.125,0
1,T,2,58,7.25,0
1,T,2,59,7.375,0
1,T,2,60,7.5,0
1,T,2,61,7.625,0
1,T,2,62,7.75,0
1,T,2,63,7.875,0
1,T,2,64,8.0,0
1,T,3,1,0.125,1
1,T,3,2,0.25,1
1,T,3,3,0.375,1
1,T,3,4,0.5,1
1,T,3,5,0.625,0
1,T,3,6,0.75,1
1,T,3,7,0.875,0
1,T,3,8,1.0,1
1,T,3,9,1.125,0
1,T,3,10,1.25,0
1,T,3,11,1.375,0
1,T,3,12,1.5,0
1,T,3,13,1.625,0
1,T,3,14,1.75,1
1,T,3,15,1.875,0
1,T,3,16,2.0,1
1,T,3,17,2.125,0
1,T,3,18,2.25,0
1,T,3,19,2.375,0
1,T,3,20,2.5,0
1,T,3,21,2.625,0
1,T,3,22,2.75,0
1,T,3,23,2.875,0
1,T,3,24,3.0,0
1,T,3,25,3.125,0
1,T,3,26,3.25,0
1,T,3,27,3.375,0
1,T,3,28,3.5,0
1,T,3,29,3.625,0
1,T,3,30,3.75,0
1,T,3,31,3.875,0
1,T,3,32,4.0,0
1,T,3,33,4.125,0
1,T,3,34,4.25,0
1,T,3,35,4.375,0
1,T,3,36,4.5,0
1,T,3,37,4.625,0
1,T,3,38,4.75,0
1,T,3,39,4.875,0
1,T,3,40,5.0,0
1,T,3,41,5.125,0
1,T,3,42,5.25,0
1,T,3,43,5.375,0
1,T,3,44,5.5,0
1,T,3,45,5.625,0
1,T,3,46,5.75,0
1,T,3,47,5.875,0
1,T,3,48,6.0,0
1,T,3,49,6.125,0
1,T,3,50,6.25,0
1,T,3,51,6.375,0
1,T,3,52,6.5,0
1,T,3,53,6.625,0
1,T,3,54,6.75,0
1,T,3,55,6.875,0
1,T,3,56,7.0,0
1,T,3,57,7.125,0
1,T,3,58,7.25,0
1,T,3,59,7.375,0
1,T,3,60,7.5,0
1,T,3,61,7.625,0
1,T,3,62,7.75,0
1,T,3,63,7.875,0
1,T,3,64,8.0,0
1,T,4,1,0.125,1
1,T,4,2,0.25,1
1,T,4,3,0.375,1
1,T,4,4,0.5,1
1,T,4,5,0.625,0
1,T,4,6,0.75,1
1,T,4,7,0.875,0
1,T,4,8,1.0,1
1,T,4,9,1.125,0
1,T,4,10,1.25,0
1,T,4,11,1.375,0
1,T,4,12,1.5,1
1,T,4,13,1.625,0
1,T,4,14,1.75,0
1,T,4,15,1.875,0
1,T,4,16,2.0,0
1,T,4,17,2.125,0
1,T,4,18,2.25,0
1,T,4,19,2.375,0
1,T,4,20,2.5,0
1,T,4,21,2.625,0
1,T,4,22,2.75,0
1,T,4,23,2.875,0
1,T,4,24,3.0,0
1,T,4,25,3.125,0
1,T,4,26,3.25,0
1,T,4,27,3.375,0
1,T,4,28,3.5,0
1,T,4,29,3.625,0
1,T,4,30,3.75,0
1,T,4,31,3.875,0
1,T,4,32,4.0,0
1,T,4,33,4.125,0
1,T,4,34,4.25,0
1,T,4,35,4.375,0
1,T,4,36,4.5,0
1,T,4,37,4.625,0
1,T,4,38,4.75,0
1,T,4,39,4.875,0
1,T,4,40,5.0,0
1,T,4,41,5.125,0
1,T,4,42,5.25,0
1,T,4,43,5.375,0
1,T,4,44,5.5,0
1,T,4,45,5.625,0
1,T,4,46,5.75,0
1,T,4,47,5.875,0
1,T,4,48,6.0,0
1,T,4,49,6.125,0
1,T,4,50,6.25,0
1,T,4,51,6.375,0
1,T,4,52,6.5,0
1,T,4,53,6.625,0
1,T,4,54,6.75,0
1,T,4,55,6.875,0
1,T,4,56,7.0,0
1,T,4,57,7.125,0
1,T,4,58,7.25,0
1,T,4,59,7.375,0
1,T,4,60,7.5,0
1,T,4,61,7.625,0
1,T,4,62,7.75,0
1,T,4,63,7.875,0
1,T,4,64,8.0,0
1,T,5,1,0.125,1
1,T,5,2,0.25,1
1,T,5,3,0.375,1
1,T,5,4,0.5,1
1,T,5,5,0.625,0
1,T,5,6,0.75,0
1,T,5,7,0.875,0
1,T,5,8,1.0,0
1,T,5,9,1.125,0
1,T,5,10,1.25,0
1,T,5,11,1.375,0
1,T,5,12,1.5,0
1,T,5,13,1.625,0
1,T,5,14,1.75,0
1,T,5,15,1.875,0
1,T,5,16,2.0,1
